StudyInstanceUID,mse,mean,std
1.2.826.0.1.3680043.8.498.26697628953273228189375557799582420561,0.38683004707638935,139.8777576171875,38.44066250154457
1.2.826.0.1.3680043.8.498.46302891597398758759818628675365157729,0.03322854261569055,121.018951953125,41.151246143742085
1.2.826.0.1.3680043.8.498.23819260719748494858948050424870692577,0.4108573390807611,128.25180815070797,67.79983402646896
1.2.826.0.1.3680043.8.498.68286643202323212801283518367144358744,0.30811671002685026,116.75240042271724,65.49864328183365
1.2.826.0.1.3680043.8.498.10050203009225938259119000528814762175,0.0024690752432741524,118.3464349609375,47.740702720994825
1.2.826.0.1.3680043.8.498.11707076266253086830850990314496191758,0.11804416061835181,115.4389462890625,43.659276073798246
1.2.826.0.1.3680043.8.498.23133310896792275593685843424784127411,0.42308673223987264,109.52635740565646,30.80191068387614
1.2.826.0.1.3680043.8.498.17332833449968516367349904809269946843,0.8587278257511901,164.093785546875,33.638698498798576
1.2.826.0.1.3680043.8.498.91266853519846682206191056121106632892,0.4737477350090452,110.4341228515625,54.50159662625204
1.2.826.0.1.3680043.8.498.12706894217669234973612892549268062041,0.5946031634619773,161.3246728515625,38.275920575969124
1.2.826.0.1.3680043.8.498.21553435248897151659092231631371824902,1.2304620774287844,114.394862890625,51.20815268740887
1.2.826.0.1.3680043.8.498.84472839875948876829268566623518529475,0.005355787082868118,168.8002849609375,42.68806498112626
1.2.826.0.1.3680043.8.498.96906149082473772016958289823449519324,0.001368049578258905,143.2167168051714,63.72391650592686
1.2.826.0.1.3680043.8.498.71008408169501434503106701503871872312,0.07589132815866106,161.0175875,45.12292461527836
1.2.826.0.1.3680043.8.498.11974864693507588499261122658921520640,0.08290821583308891,132.133275460082,67.72291341451934
1.2.826.0.1.3680043.8.498.43799120279114891015400100512032587474,0.04066117960053147,133.77661186674734,57.73174618857753
1.2.826.0.1.3680043.8.498.93114846183726176746476784220668914974,0.04195641624372616,124.66271809863677,58.126462025489424
1.2.826.0.1.3680043.8.498.58764130686095794423168208656843852868,0.0001644074661851487,147.282419921875,58.01668166560139
1.2.826.0.1.3680043.8.498.12874505746046378224149765340162475796,0.06313900952108138,114.45798629976292,56.38215568291854
1.2.826.0.1.3680043.8.498.10129559062963528496643969105849375477,0.7612434542069179,97.20262618747736,58.13084194737498
1.2.826.0.1.3680043.8.498.25053965874917384318832635138538683984,0.2066891247917947,118.2474703125,49.72453175691481
1.2.826.0.1.3680043.8.498.43104496908194932746081407360765828791,0.9063011423237854,110.66252578125,47.42000891117648
1.2.826.0.1.3680043.8.498.43628413720237813055164698328123437513,1.105426656910555,114.8640732421875,48.83234096889528
1.2.826.0.1.3680043.8.498.35890049555150130784434109370883656562,0.234498210147458,119.73250444291878,67.97016634891584
1.2.826.0.1.3680043.8.498.36104631337783803705375941587879526613,0.037862726354580024,160.1673234375,54.91883004838038
1.2.826.0.1.3680043.8.498.10335903250150902074285602041731081861,1.2802205204178765,119.22673828125,47.148760040382456
1.2.826.0.1.3680043.8.498.65953940794722178092590580194807287663,0.0009219818005789893,104.45057185817703,61.685736218607005
